,x,y,z,scalex,scaley,rotate(z),direction
stone.txt  ,4.000,-8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,5.000,-8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,6.000,-8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,7.000,-8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,8.000,-8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,9.000,-8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,9.000,-7.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,9.000,-6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,9.000,-5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,9.000,-4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,9.000,-3.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,9.000,-2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,9.000,-1.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,5.000,-3.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,5.000,-4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,5.000,-5.000,-10.000,0.500,0.500,0.000,0.000
spike.txt  ,-6.875,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-6.625,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-6.375,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-6.125,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-5.875,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-5.625,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-5.375,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-5.125,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-4.875,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-4.625,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-4.375,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-4.125,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-3.875,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-3.625,-6.625,-10.000,0.130,0.130,0.000,0.000
stone.txt  ,-7.000,-6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-6.000,-6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-5.000,-6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-4.000,-6.000,-10.000,0.500,0.500,0.000,0.000
spike.txt  ,-1.375,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-1.125,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-0.875,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-0.625,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-0.375,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-0.125,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,0.125,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,0.375,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,0.625,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,0.875,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,1.125,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,1.375,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,1.625,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,1.875,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,2.125,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,2.375,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,2.625,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,2.875,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,3.125,-6.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,3.375,-6.625,-10.000,0.130,0.130,0.000,0.000
stone.txt  ,-1.000,-6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,0.000,-6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,1.000,-6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,2.000,-6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,3.000,-6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,6.000,-7.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,7.000,-7.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,8.000,-7.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,7.000,-6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,8.000,-6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,8.000,-5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-6.000,-2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-7.000,-2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-8.000,-2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-9.000,-2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-9.000,-1.000,-10.000,0.500,0.500,0.000,0.000
lava.txt  ,-9.000,2.000,-10.000,0.500,0.500,0.000,0.000
movinglava.txt  ,-8.000,2.000,-10.000,0.500,0.500,0.000,0.000
lava.txt  ,-8.000,1.000,-10.000,0.500,0.500,0.000,0.000
movinglava.txt  ,-7.000,1.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-7.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-10.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-11.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-12.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-13.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-14.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-15.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-15.000,1.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-15.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-15.000,-1.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-15.000,-2.000,-10.000,0.500,0.500,0.000,0.000
spike.txt  ,-15.375,-3.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-15.125,-3.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-14.875,-3.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-14.625,-3.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-13.125,-3.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-12.875,-3.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-12.625,-3.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-12.375,-3.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-12.125,-3.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-11.875,-3.625,-10.000,0.130,0.130,0.000,0.000
spike.txt  ,-11.625,-3.625,-10.000,0.130,0.130,0.000,0.000
stone.txt  ,-15.000,-3.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-14.000,-3.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-13.000,-3.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-12.000,-3.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-14.000,-2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-13.000,-2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-11.000,-5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-12.000,-5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-13.000,-5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-14.000,-5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-15.000,-5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-16.000,-5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-17.000,-5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-18.000,-5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-19.000,-5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-19.000,-4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-19.000,-3.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-19.000,-2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-19.000,-1.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-19.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-19.000,1.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-19.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-19.000,3.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-19.000,4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-19.000,5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-19.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-19.000,7.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-19.000,8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-19.000,9.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-19.000,10.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-19.000,11.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-16.000,-3.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-12.000,-2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-12.000,-3.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-12.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-11.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-13.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-18.000,-4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-18.000,-2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-18.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-16.000,-3.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-16.000,-1.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-16.000,1.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-18.000,4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-17.000,4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-16.000,4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-15.000,4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-14.000,4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-13.000,4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-11.000,3.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-10.000,3.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-10.000,4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-10.000,5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-10.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-10.000,7.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-11.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-14.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-15.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-16.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-18.000,5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-10.000,7.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-9.000,7.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-8.000,7.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-5.000,7.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-5.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-5.000,8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-5.000,9.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-6.000,10.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-5.000,11.000,-10.000,0.500,0.500,0.000,0.000
movinglava.txt  ,-7.000,4.500,-10.000,0.500,0.500,0.000,0.000
movinglava.txt  ,-8.000,4.500,-10.000,0.500,0.500,0.000,0.000
movinglava.txt  ,-6.000,5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-4.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-3.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-2.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-1.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-1.000,5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-1.000,4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-2.000,4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-3.000,4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-4.000,3.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-5.000,5.000,-10.000,0.500,0.500,0.000,0.000
movinglava.txt  ,-5.000,3.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-5.000,9.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-6.000,9.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-7.000,9.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-8.000,9.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-9.000,9.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-10.000,9.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-11.000,9.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-12.000,9.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-13.000,9.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-14.000,9.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-15.000,9.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-16.000,9.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-17.000,9.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-18.000,9.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-1.000,7.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,0.000,6.500,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-1.000,8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-1.000,9.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-1.000,10.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-1.000,11.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,0.000,11.000,-10.000,0.500,0.500,0.000,0.000
stonesmall.txt  ,0.750,10.750,-10.000,0.250,0.250,0.000,0.000
stone.txt  ,1.000,8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,1.000,5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,4.500,8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,5.500,8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,4.000,4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,6.000,7.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,6.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,6.000,5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,6.000,4.000,-10.000,0.500,0.500,0.000,0.000
movinglava.txt  ,8.000,11.000,-10.000,0.500,0.500,0.000,0.000
movinglava.txt  ,8.000,10.000,-10.000,0.500,0.500,0.000,0.000
movinglava.txt  ,8.000,9.000,-10.000,0.500,0.500,0.000,0.000
movinglava.txt  ,8.000,8.000,-10.000,0.500,0.500,0.000,0.000
movinglava.txt  ,8.000,7.000,-10.000,0.500,0.500,0.000,0.000
movinglava.txt  ,8.000,6.000,-10.000,0.500,0.500,0.000,0.000
movinglava.txt  ,8.000,5.000,-10.000,0.500,0.500,0.000,0.000
movinglava.txt  ,8.000,4.000,-10.000,0.500,0.500,0.000,0.000
movinglava.txt  ,8.000,3.000,-10.000,0.500,0.500,0.000,0.000
movinglava.txt  ,8.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,6.000,1.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,6.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,6.000,-1.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,7.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,7.000,-1.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,8.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,8.000,-1.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,9.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,10.000,-1.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,10.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,10.000,1.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,10.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,11.000,-1.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,15.000,-1.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,16.000,-1.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,17.000,-1.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,18.000,-1.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,20.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,22.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,24.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,26.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,20.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,22.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,24.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,26.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,20.000,4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,22.000,4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,24.000,4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,26.000,4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,20.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,22.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,24.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,26.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,32.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,33.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,34.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,35.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,36.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,37.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,37.000,3.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,35.000,4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,37.000,5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,35.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,37.000,7.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,35.000,8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,37.000,9.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,35.000,10.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,37.000,11.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,35.000,12.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,34.000,12.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,33.000,12.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,32.000,12.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,18.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,17.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,16.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,15.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,14.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,13.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,12.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,11.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,10.000,6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,18.000,7.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,17.000,5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,16.000,5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,15.000,5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,14.000,5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,13.000,5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,12.000,5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,11.000,5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,16.000,4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,15.000,4.000,-10.000,0.500,0.500,0.000,0.000
